scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
355,W_bldg2_355,en_pv,72.0,W,18000.0,11321.288575633196,37819.59966392876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-580455.2809269847,0.0,136620.0692519613,-136620.0692519613,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,136620.0692519613,0.0,408522.8142766657
356,W_bldg2_356,en_pv,72.0,W,18000.0,6501.360593703093,21718.274671833577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-863150.005948463,0.0,115698.81627793598,-115698.81627793598,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,115698.81627793598,0.0,408522.8142766657
357,W_bldg2_357,en_pv,72.0,W,18000.0,4941.6255850517955,20996.84559550184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1116181.2258392815,0.0,113417.65219295297,-113417.65219295297,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,113417.65219295297,0.0,408522.8142766657
358,W_bldg2_358,en_pv,72.0,W,18000.0,4195.4202784481795,17826.2375970539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1270927.6509144278,0.0,109500.8388879014,-109500.8388879014,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,109500.8388879014,0.0,408522.8142766657
359,W_bldg2_359,en_pv,72.0,W,18000.0,3773.0290070991723,19458.933207104914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1429861.1545316062,0.0,110711.14322660342,-110711.14322660342,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,110711.14322660342,0.0,408522.8142766657
360,W_bldg2_360,en_pv,72.0,W,18000.0,18281.09712622737,37819.59966392876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-610025.2968811025,0.0,143579.87780255545,-143579.87780255545,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,143579.87780255545,0.0,408522.8142766657
361,W_bldg2_361,en_pv,72.0,W,18000.0,10498.098663602537,21718.274671833577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-892966.9444426383,0.0,119695.55434783544,-119695.55434783544,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,119695.55434783544,0.0,408522.8142766657
362,W_bldg2_362,en_pv,72.0,W,18000.0,7979.510166026261,20996.84559550184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1146078.068790867,0.0,116455.53677392744,-116455.53677392744,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,116455.53677392744,0.0,408522.8142766657
363,W_bldg2_363,en_pv,72.0,W,18000.0,6774.572088969601,17826.2375970539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1300862.7215968864,0.0,112079.99069842283,-112079.99069842283,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,112079.99069842283,0.0,408522.8142766657
364,W_bldg2_364,en_pv,72.0,W,18000.0,6092.514052447024,19458.933207104914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.55713016986636,0.0,0.0,0.0,0.0,19130.67540606133,69479.18101239932,-1459817.8641111609,0.0,113030.62827195127,-113030.62827195127,61624.81433602905,274749.9036351923,47.83030914037832,33384.37729438518,69479.18101239932,68.46185678818745,68.46185678818713,32.74551774503314,32.7455177450329,0.0,113030.62827195127,0.0,408522.8142766657
