scenario,scenario_label,arrangement,number_of_households,load_folder,en_opex,en_capex_repayment,pv_capex_repayment,average_hh_bill$,average_hh_solar_bill$,average_hh_total$,central_battery_SOH_mean,central_battery_capacity_kWh_mean,central_battery_cycles_mean,checksum_total_payments$_mean,cp_ratio_mean,cust_bill_cp_mean,cust_solar_bill_cp_mean,cust_total$_cp_mean,eno$_bat_capex_repay_mean,eno$_demand_charge_mean,eno$_energy_bill_mean,eno$_npv_building_mean,eno$_receipts_from_residents_mean,eno$_total_payment_mean,eno_net$_mean,export_kWh_mean,import_kWh_mean,pv_ratio_mean,retailer_bill$_mean,retailer_receipt$_mean,self-consumption_mean,self-consumption_OLD_mean,self-sufficiency_mean,self-sufficiency_OLD_mean,solar_retailer_profit_mean,total$_building_costs_mean,total_battery_losses_mean,total_building_load_mean
489,T_bldg1_489,en_pv,15.0,T,3750.0,618.5293454260939,3258.1033270319494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-302265.7702410794,0.0,23403.803142426037,-23403.803142426037,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,23403.803142426037,0.0,77436.28081222216
490,T_bldg1_490,en_pv,15.0,T,3750.0,6031.834077181621,5586.406329943593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-132326.95839809763,0.0,31145.410877093207,-31145.410877093207,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,31145.410877093207,0.0,77436.28081222216
491,T_bldg1_491,en_pv,15.0,T,3750.0,3463.839660579518,3208.048424105953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-195453.31814778235,0.0,26199.058554653464,-26199.058554653464,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,26199.058554653464,0.0,77436.28081222216
492,T_bldg1_492,en_pv,15.0,T,3750.0,2632.8333035112028,3352.8119492021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-251080.1923452576,0.0,25512.81572268135,-25512.81572268135,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,25512.81572268135,0.0,77436.28081222216
493,T_bldg1_493,en_pv,15.0,T,3750.0,2235.2649024518996,2846.523881545476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-285625.27094526915,0.0,24608.959253965368,-24608.959253965368,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,24608.959253965368,0.0,77436.28081222216
494,T_bldg1_494,en_pv,15.0,T,3750.0,2010.2203726348052,3258.1033270319494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-320239.7959888123,0.0,24795.49416963475,-24795.49416963475,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,24795.49416963475,0.0,77436.28081222216
495,T_bldg1_495,en_pv,15.0,T,3750.0,12991.6426277758,5586.406329943593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-161896.9743522154,0.0,38105.219427687385,-38105.219427687385,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,38105.219427687385,0.0,77436.28081222216
496,T_bldg1_496,en_pv,15.0,T,3750.0,7460.577730478959,3208.048424105953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-225270.25664195808,0.0,30195.796624552906,-30195.796624552906,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,30195.796624552906,0.0,77436.28081222216
497,T_bldg1_497,en_pv,15.0,T,3750.0,5670.717884485667,3352.8119492021506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-280977.0352968439,0.0,28550.700303655816,-28550.700303655816,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,28550.700303655816,0.0,77436.28081222216
498,T_bldg1_498,en_pv,15.0,T,3750.0,4814.416712973321,2846.523881545476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.101381960911605,0.0,0.0,0.0,0.0,4447.236386841082,15777.170469967996,-315560.3416277261,0.0,27188.11106448679,-27188.11106448679,9974.00389856113,55451.54841434321,41.27101141897281,8461.642332113435,15777.170469967996,68.79099409299211,68.79099409299187,28.390739027343688,28.390739027343614,0.0,27188.11106448679,0.0,77436.28081222216
